iter	Passed	Remaining
1009	128215	49509
1010	128326	49375
1011	128455	49249
1012	128573	49119
1013	128703	48993
1014	128845	48872
1015	129015	48761
1016	129141	48634
1017	129273	48509
1018	129410	48386
1019	129558	48267
1020	129720	48152
1021	129855	48028
1022	129965	47895
1023	130084	47765
1024	130211	47638
1025	130329	47508
1026	130444	47376
1027	130566	47247
1028	130683	47117
1029	130818	46992
1030	130935	46862
1031	131049	46730
1032	131168	46601
1033	131296	46474
1034	131409	46342
1035	131530	46213
1036	131633	46078
1037	131773	45955
1038	131904	45830
1039	132039	45705
1040	132159	45576
1041	132291	45451
1042	132410	45321
1043	132536	45194
1044	132686	45075
1045	132823	44951
1046	133006	44843
1047	133165	44727
1048	133310	44606
1049	133436	44478
1050	133576	44356
1051	133721	44235
1052	133839	44104
1053	133980	43982
1054	134117	43858
1055	134244	43731
1056	134367	43602
1057	134501	43477
1058	134613	43345
1059	134757	43224
1060	134883	43096
1061	135038	42978
1062	135174	42853
1063	135326	42734
1064	135437	42602
1065	135570	42477
1066	135673	42342
1067	135774	42207
1068	135908	42081
1069	136051	41959
1070	136206	41841
1071	136316	41708
1072	136448	41583
1073	136578	41456
1074	136708	41330
1075	136847	41206
1076	136981	41081
1077	137076	40944
1078	137235	40827
1079	137389	40707
1080	137514	40580
1081	137653	40456
1082	137774	40327
1083	137920	40205
1084	138085	40089
1085	138225	39965
1086	138361	39841
1087	138493	39714
1088	138643	39594
1089	138776	39468
1090	138888	39336
1091	139008	39207
1092	139139	39081
1093	139284	38958
1094	139385	38824
1095	139518	38698
1096	139649	38572
1097	139746	38436
1098	139856	38304
1099	139982	38177
1100	140128	38054
1101	140268	37930
1102	140385	37800
1103	140530	37678
1104	140644	37547
1105	140763	37418
1106	140903	37294
1107	141052	37172
1108	141183	37046
1109	141303	36917
1110	141466	36799
1111	141614	36677
1112	141747	36551
1113	141893	36428
1114	142022	36301
1115	142161	36177
1116	142277	36047
1117	142407	35920
1118	142551	35797
1119	142716	35679
1120	142830	35548
1121	142963	35422
1122	143087	35294
1123	143197	35162
1124	143337	35038
1125	143460	34909
1126	143570	34777
1127	143721	34656
1128	143844	34527
1129	143998	34406
1130	144126	34279
1131	144264	34154
1132	144392	34027
1133	144506	33896
1134	144643	33771
1135	144786	33647
1136	144913	33519
1137	145037	33391
1138	145149	33260
1139	145288	33135
1140	145442	33014
1141	145555	32883
1142	145690	32758
1143	145835	32634
1144	145955	32505
1145	146075	32376
1146	146228	32254
1147	146342	32123
1148	146458	31993
1149	146588	31867
1150	146689	31733
1151	146809	31604
1152	146951	31480
1153	147079	31353
1154	147185	31221
1155	147333	31098
1156	147467	30972
1157	147583	30842
1158	147707	30713
1159	147844	30588
1160	147966	30459
1161	148095	30332
1162	148250	30210
1163	148380	30084
1164	148516	29958
1165	148639	29829
1166	148754	29699
1167	148881	29572
1168	149006	29444
1169	149138	29317
1170	149267	29190
1171	149385	29061
1172	149486	28928
1173	149610	28800
1174	149747	28674
1175	149901	28552
1176	150077	28434
1177	150208	28307
1178	150331	28179
1179	150475	28054
1180	150597	27926
1181	150739	27801
1182	150864	27673
1183	150971	27542
1184	151124	27419
1185	151241	27289
1186	151387	27165
1187	151513	27037
1188	151651	26912
1189	151765	26782
1190	151878	26652
1191	152016	26526
1192	152133	26396
1193	152265	26270
1194	152392	26142
1195	152527	26016
1196	152668	25891
1197	152802	25764
1198	152933	25637
1199	153099	25516
1200	153224	25388
1201	153395	25268
1202	153550	25145
1203	153684	25018
1204	153819	24892
1205	153957	24765
1206	154068	24635
1207	154205	24509
1208	154352	24384
1209	154491	24258
1210	154664	24138
1211	154798	24011
1212	154962	23889
1213	155090	23761
1214	155232	23636
1215	155364	23509
1216	155505	23383
1217	155651	23258
1218	155773	23129
1219	155931	23006
1220	156035	22875
1221	156167	22747
1222	156317	22623
1223	156457	22497
1224	156599	22371
1225	156728	22243
1226	156850	22115
1227	156972	21986
1228	157112	21860
1229	157239	21732
1230	157364	21604
1231	157515	21479
1232	157697	21358
1233	157831	21231
1234	157969	21105
1235	158107	20978
1236	158237	20850
1237	158372	20723
1238	158497	20595
1239	158631	20468
1240	158783	20343
1241	158927	20217
1242	159081	20093
1243	159219	19966
1244	159318	19834
1245	159459	19708
1246	159605	19582
1247	159736	19455
1248	159859	19326
1249	159961	19195
1250	160085	19066
1251	160207	18938
1252	160329	18809
1253	160471	18683
1254	160597	18555
1255	160759	18430
1256	160902	18304
1257	161042	18178
1258	161180	18051
1259	161319	17924
1260	161453	17797
1261	161584	17669
1262	161726	17542
1263	161860	17415
1264	161987	17287
1265	162126	17160
1266	162264	17033
1267	162407	16906
1268	162549	16780
1269	162690	16653
1270	162833	16526
1271	162951	16397
1272	163082	16269
1273	163214	16142
1274	163351	16014
1275	163478	15886
1276	163631	15760
1277	163764	15633
1278	163880	15503
1279	164030	15377
1280	164156	15249
1281	164280	15120
1282	164407	14992
1283	164520	14863
1284	164654	14735
1285	164796	14608
1286	164921	14480
1287	165059	14352
1288	165184	14224
1289	165307	14096
1290	165436	13967
1291	165569	13840
1292	165701	13712
1293	165832	13584
1294	165970	13457
1295	166087	13328
1296	166196	13198
1297	166297	13068
1298	166451	12941
1299	166607	12815
1300	166736	12687
1301	166862	12559
1302	166991	12431
1303	167114	12302
1304	167247	12175
1305	167361	12045
1306	167473	11916
1307	167588	11787
1308	167681	11656
1309	167804	11528
1310	167957	11402
1311	168096	11274
1312	168242	11147
1313	168358	11018
1314	168480	10890
1315	168614	10762
1316	168735	10634
1317	168831	10503
1318	168938	10374
1319	169072	10246
1320	169198	10118
1321	169330	9990
1322	169477	9863
1323	169588	9734
1324	169704	9605
1325	169831	9477
1326	169935	9348
1327	170090	9221
1328	170199	9092
1329	170364	8966
1330	170453	8836
1331	170540	8706
1332	170628	8576
1333	170718	8446
1334	170811	8316
1335	170908	8187
1336	171007	8057
1337	171103	7928
1338	171201	7799
1339	171305	7670
1340	171401	7541
1341	171482	7411
1342	171568	7281
1343	171670	7152
1344	171762	7023
1345	171848	6894
1346	171934	6765
1347	172015	6635
1348	172112	6506
1349	172217	6378
1350	172308	6249
1351	172386	6120
1352	172481	5991
1353	172575	5862
1354	172675	5734
1355	172766	5606
1356	172864	5477
1357	172969	5349
1358	173062	5221
1359	173156	5092
1360	173240	4964
1361	173325	4835
1362	173404	4707
1363	173499	4579
1364	173586	4450
1365	173672	4322
1366	173755	4194
1367	173836	4066
1368	173909	3938
1369	173986	3809
1370	174063	3681
1371	174237	3555
1372	174322	3428
1373	174392	3300
1374	174460	3172
1375	174535	3044
1376	174604	2916
1377	174680	2788
1378	174753	2661
1379	174832	2533
1380	174890	2406
1381	174946	2278
1382	175098	2152
1383	175160	2024
1384	175218	1897
1385	175279	1770
1386	175331	1643
1387	175386	1516
1388	175445	1389
1389	175504	1262
1390	175555	1135
1391	175603	1009
1392	175645	882
1393	175687	756
1394	175825	630
1395	175874	503
1396	175916	377
1397	175961	251
1398	176002	125
1399	176044	0
